REPORTE DE NOTAS
========================================================================================================================
CODIGO         CURSO     CICLO     NOTA      VEZ       CREDITOS  COD.ACCESO/CRED./PORCENTAJE
========================================================================================================================
202111260      INF246    202301    11        1         4.00      202111260 INF246
202111260      MEC289    202202    15        1         3.00      202111260 MEC289
202111397      FIS220    202202    6         2         3.50      1.50      
202111397      MEC270    202202    19        2         3.50      1.50      
202113223      MEC270    202202    16        1         3.50      202113223 MEC270
202114285      MEC289    202301    19        1         3.00      202114285 MEC289
202114739      MAT241    202202    15        1         4.00      202114739 MAT241
202114739      MEC206    202302    20        1         3.00      202114739 MEC206
202115400      FIS220    202201    15        1         3.50      202115400 FIS220
202115802      INF263    202301    18        1         4.50      202115802 INF263
202115802      MEC206    202201    16        2         3.00      1.00      
202115802      MEC289    202201    20        1         3.00      202115802 MEC289
202116038      INF246    202202    11        1         4.00      202116038 INF246
202116038      MAT241    202201    20        1         4.00      202116038 MAT241
202116963      FIS220    202302    20        1         3.50      202116963 FIS220
202116963      MEC206    202301    14        1         3.00      202116963 MEC206
202116963      MEC289    202302    20        1         3.00      202116963 MEC289
202119153      FIS220    202201    15        1         3.50      202119153 FIS220
202119153      MEC270    202201    16        1         3.50      202119153 MEC270
202119707      INF246    202302    17        3         4.00      100.00    
202119707      MEC289    202202    7         1         3.00      202119707 MEC289
202119958      INF246    202201    17        1         4.00      202119958 INF246
202119958      MAT241    202302    17        1         4.00      202119958 MAT241
202119958      MEC270    202202    19        1         3.50      202119958 MEC270
202121791      MAT241    202202    16        1         4.00      202121791 MAT241
202122742      FIS220    202301    17        1         3.50      202122742 FIS220
202123373      INF246    202202    7         1         4.00      202123373 INF246
202123402      INF246    202202    16        2         4.00      1.50      
202123703      INF263    202302    9         2         4.50      1.50      
202123703      MAT241    202202    13        1         4.00      202123703 MAT241
202123703      MEC270    202302    14        1         3.50      202123703 MEC270
202125607      FIS220    202202    14        1         3.50      202125607 FIS220
202125607      MEC206    202201    19        1         3.00      202125607 MEC206
202125775      FIS220    202202    19        2         3.50      1.50      
202125775      MEC206    202201    18        1         3.00      202125775 MEC206
202125775      MEC270    202301    20        1         3.50      202125775 MEC270
202126490      MEC206    202302    11        1         3.00      202126490 MEC206
202127344      INF263    202202    16        1         4.50      202127344 INF263
202127344      MEC270    202201    14        3         3.50      100.00    
202127660      INF263    202302    12        1         4.50      202127660 INF263
202129719      FIS220    202201    16        1         3.50      202129719 FIS220
202129719      INF246    202201    16        1         4.00      202129719 INF246
202129719      MEC270    202202    15        2         3.50      1.50      
202129735      FIS220    202201    19        1         3.50      202129735 FIS220
202129735      INF263    202302    16        1         4.50      202129735 INF263
202129735      MEC289    202201    13        1         3.00      202129735 MEC289
202129785      MAT241    202201    12        1         4.00      202129785 MAT241
202211325      INF263    202302    19        2         4.50      1.50      
202211325      MAT241    202201    11        1         4.00      202211325 MAT241
202213745      INF246    202201    12        1         4.00      202213745 INF246
202214204      INF246    202302    16        2         4.00      1.50      
202214204      MEC289    202202    20        2         3.00      1.00      
202214712      INF246    202302    12        1         4.00      202214712 INF246
202214712      MAT241    202202    19        1         4.00      202214712 MAT241
202215067      MEC206    202201    18        1         3.00      202215067 MEC206
202215067      MEC289    202202    11        1         3.00      202215067 MEC289
202215494      FIS220    202302    14        1         3.50      202215494 FIS220
202215494      MEC206    202301    19        2         3.00      1.00      
202215494      MEC270    202201    16        3         3.50      100.00    
202216453      MAT241    202301    11        3         4.00      100.00    
202216453      MEC206    202201    10        2         3.00      1.00      
202216453      MEC270    202201    16        1         3.50      202216453 MEC270
202217030      INF263    202302    18        1         4.50      202217030 INF263
202219437      MEC270    202202    8         1         3.50      202219437 MEC270
202219437      MEC289    202302    17        2         3.00      1.00      
202219773      INF246    202302    18        1         4.00      202219773 INF246
202219773      MAT241    202202    13        1         4.00      202219773 MAT241
202222447      INF263    202302    17        1         4.50      202222447 INF263
202223508      FIS220    202302    8         1         3.50      202223508 FIS220
202223508      MEC206    202202    15        2         3.00      1.00      
202224569      FIS220    202302    17        1         3.50      202224569 FIS220
202224569      INF263    202201    13        1         4.50      202224569 INF263
202224569      MEC206    202202    14        1         3.00      202224569 MEC206
202224569      MEC270    202301    20        1         3.50      202224569 MEC270
202224918      INF246    202202    13        1         4.00      202224918 INF246
202224918      MAT241    202201    12        1         4.00      202224918 MAT241
202225778      INF246    202301    19        1         4.00      202225778 INF246
202225778      MAT241    202301    12        1         4.00      202225778 MAT241
202225778      MEC270    202201    16        1         3.50      202225778 MEC270
202226249      MEC270    202202    20        1         3.50      202226249 MEC270
202226249      MEC289    202201    15        1         3.00      202226249 MEC289
202226929      FIS220    202301    13        1         3.50      202226929 FIS220
202226929      MEC270    202301    15        2         3.50      1.50      
202227316      MEC289    202202    12        3         3.00      50.00     
202311247      MAT241    202302    15        1         4.00      202311247 MAT241
202311247      MEC270    202302    19        1         3.50      202311247 MEC270
202311748      FIS220    202302    5         1         3.50      202311748 FIS220
202311748      INF246    202302    18        1         4.00      202311748 INF246
