CODIGO         TITULO                                                      AUTOR                              RANKING
VFI8064        A sangre fria                                               Truman Capote                         3
QHZ8547        Adios a las armas                                           Hernest Hemingway                     3
YKQ9278        Alicia en el pais de las maravillas                         Lewis Carroll                         3
SFR1226        Ana la de las tejas verdes                                  Lucy Maud Montgomery                  3
CMP1150        Don Quijote de la Mancha                                    Miguel de Cervantes                   3
QCA9584        Dr. Jekyll y Mr. Hyde                                       Robert Louis Stevenson                3
JZU0977        El alquimista                                               Paulo Coelho                          3
MBB0685        El capitan Alatriste                                        Arturo Perez-Reverte                  3
TVR7016        El corazon de las tinieblas                                 Joseph Conrad                         3
VOI0019        El evangelio según Jesucristo                               Jose Saramago                         3
DPZ8059        El hombre que pudo reinar                                   Rudyard Kipling                       3
CKR6798        El lobo estepario                                           Hermann Hesse                         3
HPP3360        El pintor de batallas                                       Arturo Perez-Reverte                  3
RLQ7170        El tango de la guardia vieja                                Arturo Perez-Reverte                  3
NEO9165        Emperador de Roma                                           Mary Beard                            3
UEJ1235        Grandes esperanzas                                          Charles Dickens                       3
ALH8812        Guerra y Paz                                                Leon Tolstoi                          3
LDL2628        Harry Potter y el caliz de fuego (Harry Potter 4)           J.K. Rowling                          3
ZQD4253        Harry Potter y el misterio del principe ( Harry Potter 6)   J. K. Rowling                         3
CJN4376        Harry Potter y la camara secreta (Harry Potter 2)           J. K. Rowling                         3
ZLE2920        Historia de la Edad Media                                   Indro Montanelli                      3
QYH7021        Historia del siglo XX: 1914-1991                            Eric Hobsbawm                         3
ILG7766        Iliada                                                      Homero                                3
CST1133        Inferno                                                     Dan Brown                             3
JSM8271        La Odisea                                                   Homero                                3
KVL6246        La edad media - barbaros - cristianos y musulmanes          Umberto Eco                           3
ULM8751        La sumisa                                                   Fiodor Dostoyevski                    3
EDQ0577        Las aventuras de Pinocho                                    Carlo Collodi                         3
ELC8965        Las aventuras de Rocambole                                  Ponson Du Terrail                     3
XJT3661        Las aventuras de Tom Sawye                                  Mark Twain                            3
RII8346        Las dos Dianas                                              Alejandro Dumas                       3
UDS2730        Los Nibelungos                                              Anonimo                               3
JJV7549        Los hombres que no amaban a las mujeres                     Stieg Larsson                         3
VDL9379        Los juegos del hambre                                       Suzanne Collins                       3
IMC3155        Los pilares de la tierra                                    Ken Follett                           3
KLV1872        Orgullo y prejuicio                                         Jane Austen                           3
NFP3266        Sabotaje                                                    Arturo Perez-Reverte                  3
IPE3429        Sidi                                                        Arturo Perez-Reverte                  3
BSX2922        Una historia de Espania                                     Arturo Perez-Reverte                  3
EJE8138        Yawar fiesta                                                Jose Maria Arguedas                   3
BHD6079        Zorba el griego                                             Nikos Kazantzakis                     3
KWL0415        1923                                                        Roberto Villa Garcia                  2
GQC1814        Apocalipticos e integrados                                  Umberto Eco                           2
VSG3432        Bajo bandera negra                                          David Cordingly                       2
YJI3961        Cien anios de soledad                                       Gabriel Garcia Marquez                2
OQK1590        Cometas en el cielo                                         Khaled Hosseini                       2
ETZ8565        Confesiones de una mascara                                  Yukio Mishima                         2
AKU9740        Conversacion en La Catedral                                 Mario Vargas Llosa                    2
YZV6954        Corazon de las tinieblas                                    Joseph Conrad                         2
OBH4691        Crimen y castigo                                            Fiodor Dostoyevski                    2
SQB7146        Cronica de una muerte anunciada                             Gabriel Garcia Marquez                2
OCI8959        David Copperfield                                           Charles Dickens                       2
IIM5175        Diamantes y pedernales                                      Jose Maria Arguedas                   2
FNM6936        Divina comedia                                              Dante Alighieri                       2
RNG2321        El Aleph                                                    Jorge Luis Borges                     2
VPN5351        El Amante                                                   Ana Maria Moix                        2
CKC4095        El Gran Gatsby                                              F. Scott Fitzgerald                   2
MNL3677        El Hobbit                                                   J.R.R. Tolkien                        2
EEJ4830        El Principito                                               Antoine de Saint-Exupery              2
RSK1164        El amor en los tiempos del colera                           Gabriel Garcia Marquez                2
WYE2119        El asedio                                                   Arturo Perez-Reverte                  2
WCZ0845        El cementerio de Praga                                      Umberto Eco                           2
IUI3314        El coronel no tiene quien le escriba                        Gabriel Garcia Marquez                2
HVZ1228        El húsar                                                    Arturo Perez-Reverte                  2
OBD2849        El invierno del mundo                                       Ken Follett                           2
XCC4070        El italiano                                                 Arturo Perez-Reverte                  2
BTX3816        El jugador                                                  Fiodor Dostoyevski                    2
JBR9372        El maestro de esgrima                                       Arturo Perez-Reverte                  2
CTW5846        El medievo cristiano                                        Mario Merlino                         2
RWW7975        El nombre de la rosa                                        Umberto Eco                           2
VFZ9435        El olor de la Edad Media                                    Javier Traite                         2
FBO8724        El pendulo de Foucault                                      Umberto Eco                           2
IUG2294        El proceso                                                  Franz Kafka                           2
UCJ9882        El reino de este mundo                                      Alejo Carpentier                      2
JLQ6546        El retorno del Rey                                          J.R.R.Tolkien                         2
ZPD6557        El ruido y la furia                                         William Faulkner                      2
RZX8790        El senior de las moscas                                     William Golding                       2
KSX7995        El simbolo perdidoi                                         Dan Brown                             2
ZQY9966        El suenio del tio                                           Fiodor Dostoyevski                    2
JZC7527        El tambor de hojalata                                       Gunter Grass                          2
ZOY6470        El viejo y el mar                                           Hernest Hemingway                     2
DDQ0721        En busca del tiempo perdido                                 Marcel Proust                         2
JXK3142        En el camino                                                Jack Kerouac                          2
DEK2757        En llamas                                                   Suzanne Collins                       2
TOJ1764        Ensayo sobre la ceguera                                     Jose Saramago                         2
NBL8415        Espania con honra                                           Daniel Aquillue                       2
SPM4763        Eva                                                         Arturo Perez-Reverte                  2
HPM0950        Fahrenheit 451                                              Ray Bradbury                          2
DVL7760        Falco                                                       Arturo Perez-Reverte                  2
BZY0235        Fausto                                                      Johann Wolfgang Von Goethe            2
QKH2262        Fiesta                                                      Hernest Hemingway                     2
USE5598        Fortaleza digitali                                          Dan Brown                             2
GDA4236        Gente normal                                                Sally Rooney                          2
KBF4088        Harry Potter y el prisionero de Azkaban (Harry Potter 3)    J.K. Rowling                          2
ZYF6683        Harry Potter y la Orden del Fenix ( Harry Potter 5)         J. K. Rowling                         2
MEH2993        Hijos de un tiempo perdido                                  Jose Maria Bermúdez de Castro         2
ECT0289        Juego de tronos                                             George R.R.Martin                     2
FWP8469        Justine o los infortunios                                   Charles Dickens                       2
PQZ1316        La Eneida                                                   Virgilio                              2
AGQ7769        La Flecha Negra                                             Robert Louis Stevenson                2
EZP0333        La Reina del Sur                                            Arturo Perez-Reverte                  2
PZP7176        La caida de los gigantes                                    Ken Follett                           2
HGN9910        La ciudad y los perros                                      Mario Vargas Llosa                    2
ICU6090        La fiesta del chivo                                         Mario Vargas Llosa                    2
LRV5687        La guerra del fin del mundo                                 Mario Vargas Llosa                    2
WHU1288        La hija italiana                                            Soraya Lane                           2
EHX6253        La isla de las tormentas                                    Ken Follett                           2
BDK4183        La isla del tesoro                                          Robert Louis Stevenson                2
ILA4795        La ladrona de libros                                        Markus ZusaK                          2
WWT1581        La piel del tambor                                          Arturo Perez-Reverte                  2
IMK4892        La tabla de Flandes                                         Arturo Perez-Reverte                  2
FMX8255        Las aventuras de Huckleberry Finn                           Mark Twain                            2
EBT7258        Linea de fuego                                              Arturo Perez-Reverte                  2
BUT4998        Lolita                                                      Vladimir Nabokov                      2
UXZ2187        Los 7 habitos de la gente altamente efectiva                Stephen R. Covey                      2
CXW5879        Los barcos se pierden en tierra                             Arturo Perez-Reverte                  2
QBL9575        Los miserables                                              Victor Hugo                           2
TMR5068        Los tres mosqueteros                                        Alejandro Dumas                       2
BXE0974        Los viajes de Gulliver                                      Jonathan Swift                        2
FYV9055        Macbeth                                                     William Shakespeare                   2
QVX9089        Madame Bovary                                               Gustave Flaubert                      2
